#,Table,DQ Check,Column,Status,Counts or Bad Data
14,Source/flights,Validity,Month,Fail,"Bad records found:
       Year  Month  DayofMonth  DayOfWeek  DepTime  CRSDepTime  ArrTime  \
0    2008.0    5.0         1.0        4.0    859.0       905.0   1025.0   
1    2008.0    5.0         1.0        4.0    859.0       905.0   1025.0   
2    2008.0    5.0         1.0        4.0    859.0       905.0   1025.0   
3    2008.0    5.0         2.0        5.0    901.0       905.0   1104.0   
4    2008.0    5.0         3.0        6.0    901.0       905.0   1034.0   
..      ...    ...         ...        ...      ...         ...      ...   
532  2008.0    2.0         2.0        6.0   1519.0      1525.0   1836.0   
533  2008.0    2.0         2.0        6.0   1519.0      1525.0   1836.0   
534  2008.0    2.0         2.0        6.0   1519.0      1525.0   1836.0   
535  2008.0    2.0         2.0        6.0   1519.0      1525.0   1836.0   
536  2008.0    2.0         2.0        6.0   1126.0      1135.0   1237.0   

     CRSArrTime UniqueCarrier  FlightNum  ... TaxiIn  TaxiOut  Cancelled  \
0        1030.0            AA     1755.0  ...    5.0     10.0        0.0   
1        1030.0            AA     1755.0  ...    5.0     10.0        0.0   
2        1030.0            AA     1856.0  ...    5.0     10.0        0.0   
3        1030.0            AA     1755.0  ...    7.0     35.0        0.0   
4        1030.0            AA     1755.0  ...    5.0     17.0        0.0   
..          ...           ...        ...  ...    ...      ...        ...   
532      1845.0            B6      447.0  ...    NaN     14.0        0.0   
533      1845.0            B6      447.0  ...    5.0      NaN        0.0   
534      1845.0            B6      447.0  ...    5.0     14.0        NaN   
535      1845.0            B6      447.0  ...    5.0     14.0        0.0   
536      1250.0            B6       51.0  ...    4.0     13.0        0.0   

     CancellationCode  Diverted  CarrierDelay WeatherDelay NASDelay  \
0                 NaN       0.0           NaN          NaN      8.0   
1                 NaN       0.0           NaN          5.0      NaN   
2                 NaN       0.0           3.0          NaN      NaN   
3                 NaN       0.0           0.0          0.0     34.0   
4                 NaN       0.0           NaN          NaN      NaN   
..                ...       ...           ...          ...      ...   
532               NaN       0.0           NaN          NaN      NaN   
533               NaN       0.0           NaN          NaN      NaN   
534               NaN       0.0           NaN          NaN      NaN   
535               NaN       NaN           NaN          NaN      NaN   
536               NaN       0.0           NaN          NaN      NaN   

     SecurityDelay  LateAircraftDelay  
0              NaN                NaN  
1              NaN                NaN  
2              NaN                NaN  
3              0.0                0.0  
4              NaN                NaN  
..             ...                ...  
532            NaN                NaN  
533            NaN                NaN  
534            NaN                NaN  
535            NaN                NaN  
536            NaN                NaN  

[191 rows x 29 columns]"
15,Raw/flights,Validity,Month,Fail,"Bad records found:
    ActualElapsedTime AirTime ArrDelay ArrTime CRSArrTime CRSDepTime  \
0                  86      71        5    1025       1030        905   
1                  86      71       -5    1025       1030        905   
2                  86      71       -5    1025       1030        905   
3                 123      81       34    1104       1030        905   
4                  93      71        4    1034       1030        905   
..                ...     ...      ...     ...        ...        ...   
258                68      48        4    1329       1325       1220   
259                60      45       50    2240       2150       2050   
260                64      45        4     909        905        805   
261                68      46       16    1751       1735       1625   
262                59      46        0    1045       1045        940   

    CRSElapsedTime CancellationCode Cancelled CarrierDelay  ... NASDelay  \
0               85                          0            0  ...        8   
1               85                          0            0  ...        0   
2               85                          0            3  ...        0   
3               85                          0            0  ...       34   
4               85                          0            0  ...        0   
..             ...              ...       ...          ...  ...      ...   
258             65                          0            0  ...        0   
259             60                          0           21  ...        0   
260             60                          0            0  ...        0   
261             70                          0            4  ...        0   
262             65                          0            0  ...        0   

    Origin SecurityDelay TailNum TaxiIn TaxiOut UniqueCarrier WeatherDelay  \
0      DFW             0  N454AA      5      10            AA            0   
1      DFW             0  N454AA      5      10            AA            5   
2      DFW             0  N454AA      5      10            AA            0   
3      DFW             0  N495AA      7      35            AA            0   
4      DFW             0  N456AA      5      17            AA            0   
..     ...           ...     ...    ...     ...           ...          ...   
258    LAS             0  N428WN      4      16            WN            0   
259    LAS             0  N692SW      3      12            WN            0   
260    LAS             0  N207WN      3      16            WN            0   
261    LAS             0  N902WN      4      18            WN            0   
262    LAS             0  N734SA      2      11            WN            0   

    WeatherDelayStr  Year  
0                NA  2008  
1                 5  2008  
2                NA  2008  
3                 0  2008  
4                NA  2008  
..              ...   ...  
258              NA  2008  
259               0  2008  
260              NA  2008  
261               0  2008  
262              NA  2008  

[263 rows x 31 columns]"
16,Source/flights,Validity,DayofMonth,Pass,All values are in the range of 1 to 31.
17,Raw/flights,Validity,DayofMonth,Pass,All values are in the range of 1 to 31.
18,Source/flights,Validity,DayOfWeek,Pass,All values are in the range of 1 to 7.
19,Raw/flights,Validity,DayOfWeek,Pass,All values are in the range of 1 to 7.
20,Source/flights,Validity,DepTime,Fail,"Bad records found:
      Year  Month  DayofMonth  DayOfWeek  DepTime  CRSDepTime  ArrTime  \
59  2008.0   10.0        23.0        4.0   2500.0      1505.0   1656.0   

    CRSArrTime UniqueCarrier  FlightNum  ... TaxiIn  TaxiOut  Cancelled  \
59      1714.0            XE     3053.0  ...   12.0     13.0        0.0   

    CancellationCode  Diverted  CarrierDelay WeatherDelay NASDelay  \
59               NaN       0.0           NaN          NaN      NaN   

    SecurityDelay  LateAircraftDelay  
59            NaN                NaN  

[1 rows x 29 columns]"
21,Raw/flights,Validity,DepTime,Fail,"Bad records found:
   ActualElapsedTime AirTime ArrDelay ArrTime CRSArrTime CRSDepTime  \
59               116      91      -18    1656       1714       1505   

   CRSElapsedTime CancellationCode Cancelled CarrierDelay  ... NASDelay  \
59            129                          0            0  ...        0   

    Origin  SecurityDelay TailNum  TaxiIn TaxiOut UniqueCarrier WeatherDelay  \
59     DTW              0  N48901      12      13            XE            0   

   WeatherDelayStr  Year  
59              NA  2008  

[1 rows x 31 columns]"
22,Source/flights,Validity,CRSDepTime,Pass,All values are in the range of 0 to 2359.
23,Raw/flights,Validity,CRSDepTime,Pass,All values are in the range of 0 to 2359.
